光學字符識別	OCR
威斯敏斯特	Westminster
威斯汀	westin
威斯特伐利亞	Westphalia
威權主義	authoritarianism
威根	wigan
威泰克	weitek
威洛比	Willoughby
威瑞信	verisign
威瑞森	verizon
威瑟樂隊	weezer
威瑟斯彭	Witherspoon
威脅	threat\tmenace
威脅的	menacing\tminatory
威金斯	Wiggins
嬌養	coddle
嬌小的	petite
嬌慣	babying\tmollycoddle
嬌慣過	babied
嬌氣	sook
娘娘腔	sissy
娜內特	Nanette
娜塔莉	Natalie
娜塔莎	natasha
娜奧米	Naomi
娜迪亞	Nadia
娛樂	rec\tdisport
娛樂活動	pastimes\tamusements
娛樂的	recreative\trecreational
娶妻	wive
娼妓	strumpet
婆娘	biddy\tbiddies
婆羅洲	Borneo
婆羅門	brahman
婆羅門參	salsify
婆羅門普特拉	brahmapootra
婊子	beyatch
婚前	antenuptial
婚前的	premarital
婚後	postnuptial
婚外	extramarital
婚姻	marital\twedlock
婚姻關係	conjugality
婚姻的	hymeneal\tconjugal
婚禮	nuptial\twedding
婚禮的	bridal
婚禮頌	epithalamium
嬰兒	babe\tBaby
嬰兒牀	crib
嬰兒期	infancy\tbabyhood
嬰兒潮一代	boomer
嬰兒般的	infantine
嬰兒車	pram\tbuggy
嬰兒軟鞋	bootee
嬰兒鞋	bootees
媒人	matchmaker
媒介	medium\tintermedium
媒介性	mediacy
媒體	media
媒體播放器	mpv\tMedia Player
媒體視頻	Windows Media Video
媒染劑	mordant
嫁妝	dower\tdowry
嫁妝的	dotal
嫁接	graft\tinarch
嫁接物	grafts
嫁接的	grafted
嫁接者	grafter
嫉妒	envious\tjealousy
嫉妒地	jealously\tenviously
嫉妒的	jealous
嫡出的	trueborn
嫩枝	sprig
嬉戲	frolic\tlarked
嬉戲地	larkishly\tsportingly
嬉戲的	larky\tlarkish
嬉戲者	larker\tskylarker
嬉皮士	hippy
嬉鬧	romp
嬉鬧中	romping
嬉鬧了	romped
嬉鬧的	rompish\tfrolicsome
嬗變	transmute\ttransmutation
子	sub
子串	substring
子交換	subcommutation
子任務	subtask
子像素	subpixel
子元素	subelement
子公司	subsidiary\tsubsidiaries
子列表	sublist
子區域	subregion
子區間	subinterval
子午線	meridian
子午線的	meridional
子葉	cotyledon
子葉的	cotyledonous
子命令	subcommand
子圖	subplot\tsubgraph
子地址	subaddress
子域	subfield\tsubdomains
子複用的	submultiplexed
子宮	womb\tuterus
子宮內	intrauterine
子宮切除術	hysterectomy
子宮學	hysterology
子宮的	uterine
子宮頸	cervix
子層	sublayer
子序列	subsequence
子彈	bullet
子循環	subcycle
子文件	subfile
子條目	subentry
子樹	subtree
子槽	subslot
子模塊	submodule
子模式	submode\tsubschema
子段	subsegment
子段落	subparagraph
子爵	viscount
子癇	eclampsia
子目錄	subdir\tsubdirectory
子目標	subgoal
子程序	subprogram\tsubroutine
子空間	subspace
子章節	subchapter
子類	subclass
子類別	subcategories
子類型	subtype
子系統	subsystem
子索引	subindex
子組件	subassembly\tsubcomponents
子網	subnet
子網絡	subnetwork
子羣	subgroup
子範圍	subrange
子表達式	subexpression
子計算	subcomputation
子證明	subproof
子語言	sublanguage
子調製器	submodulator
子進程	subprocesses
子通道	subchannel
子部件	subcomponent
子部分	subpart
子問題	subproblem
子階段	subphases
子集	subset
子面板	subpanel
子項目	subproject
孑孓	wiggler
孔	orifice\tforamen
孔子	Confucius
孔徑	aperture
孔眼	eyelet
孔隙度	porosity
孔雀	peafowl\tpeacock
孔雀石	malachite
孔雀般的	pavonine
孔雀魚	guppy
孕育	gestate
字位	grapheme
字體	font\tarial
字體格式	ttf
字典	dict
字帖	copybook
字幕	srt\tcaption
字形	glyph
字母H	aitch
字母S	ess
字母Z	zee\tzed
字母學	alphabetics
字母數字的	alphameric\talphanumeric
字母的	alphabetic
字母組合	monogram
字母表	alphabet
字符	chars\tcharactery
字符串	str
字符集	GBK\tcharset
字節	byte
字詞之爭	logomachy
字謎	charade\tanagram
字距調整	kern
字面	literal
字面上	literally
字面性	literalness
字面量	literals
存儲	storage
存儲中	storing
存儲引擎	MyISAM
存入	banked\tdepositing
存在	esse\texist
存在主義	existentialism
存在主義地	existentially
存在主義的	existential
存在主義者	existentialist
存在物	beings
存在的	existent
存在過	existed
存摺	bankbook\tpassbook
存根	counterfoil
存款	deposit
孫女	granddaughter
孫子	grandson
孫輩	grands\tgrandchild
孜然	cumin
孝順	filial
孟買	mumbai\tBombay
孟加拉	Bengal
孟加拉國	Bangladesh
孟加拉語	Bengali
孟山都	Monsanto
孟席斯	Menzies
孟德爾	Mendel\tMendelian
孟德爾化	Mendelize
孟德爾學說	mendelism
孟菲斯	Memphis
孢子	spore\tsporule
孢子囊	sporangium
孢子囊羣	sorus
季後賽	playoff
季度	quarterly
季節	season
季節性地	seasonally
季節性的	seasonal
季風	monsoon
孤兒	orphan
孤兒狀態	orphanhood
孤兒的	orphaned
孤兒院	orphanage
孤寂	forlorn
孤寂地	forlornly
孤山	butte
孤挺花	amaryllis
孤獨	lone\tsolitude
孤獨地	solitarily
孤獨恐懼症	monophobia
孤獨的	lorn\tlonely
孤立主義者	isolationist
孤立性	insularity
孤立的	insular\tisolated
學習	learn\tstudy
學習者	learner
學會了	learnt\tlearned
學位帽	mortarboard
學分	credits
學前	preschool
學員	cadet\ttrainee
學員身份	cadetship
學園	lyceum
學士學位	bachelorship\tbaccalaureate
學徒	Prentice\tapprentice
學徒期	apprenticeship
學報	Acta
學期	semester\ttrimester
學術上	academically\tscholastically
學術主義	academicism
學術座談	conversazione
學術界	academia
學術的	academic\tscholarly
學校	Ecole\tschool
學步兒童	toddler
學生	pupils\tstudent
學科	ology\tdisciplines
學究	pedant
學究氣	pedantry
學究的	donnish\tpedantic
學童	schoolchild
學者	savant\tscholar
學費	tuition
學院	academy\tcollege
學院的	collegiate
學齡前兒童	preschooler
孩之寶	hasbro
孩子	kid\tsonny
孩子的	childs\tchildrens
孩子般	childly
孵化	hatch\tincubate
孵化中	incubating
孵化器	incubator
孵化場	hatchery
孵化的	incubative
寧靜	serenity\ttranquility
寧靜地	restfully
寧靜的	serene\treposeful
它	it
它會	it'd
它將	it'll
它是	it's
它的	its
宅人	homebody
宅院	curtilage
宇宙	cosmos\tuniverse
宇宙地	cosmically
宇宙學	cosmology
宇宙學家	cosmologist
宇宙學的	cosmological
宇宙的	cosmic
宇宙羣	universes
宇宙論	cosmism
宇宙起源學家	cosmogonist
宇宙起源論	cosmogony
宇宙飛船	spaceship
宇普西龍	upsilon
宇航員	spaceman\tcosmonaut
宇航服	spacesuit
守衛	guard
守衛者	guarder
守夜	vigil\tdeathwatch
守安息日	Sabbathize
守寡	widowhood
守護的	tutelar
守護神	numen
守護進程	daemon
守舊主義	fogyism
守舊的	fogyish\thidebound
守舊者	fogy\tmossback
守舊鎮	Squaresville
守時	punctuality
守望	overwatch
守紀	disciplined
守財奴	muckworm
守車	caboose
守門員	goalkeeper
安	ann\tAnn
安東	Anton
安東尼	Antony\tAnthony
安東尼奧	Antonio
安東諾維奇	Antonovics
安樂死	euthanasia
安偉	Agway
安全	safety\tsecure
安全傳輸層	TLS\tTransport Layer Security
安全地	safely\tsecurely
安全外殼協議	SSH\tssh
安全外殼協議守護進程	sshd
安全套接層	Secure Sockets Layer
安全套接層協議	SSL
安全帶	seatbelt
安全帽	hardhat
安全性	safeness
安全措施	safeties
安全文件傳輸協議	SFTP\tSSH File Transfer Protocol
安全氣囊	airbag
安全的	safe
安全超文本傳輸協議	https\tHypertext Transfer Protocol Secure
安卓	android
安卓包	APK
安卓應用包	android application package
安卓開源項目	AOSP\tAndroid Open Source Project
安卓純淨	APKpure
安卓鏡像	apkmirror
安卡	ankh
安卡拉	Ankara
安古斯圖拉樹皮	angostura
安吉	Angie
安吉麗娜	Angelina
安吉拉	Angela
安吉琳	Angeline
安哥拉	Angola
安哥拉兔	Angora
安圭拉	anguilla
安培	amp\tampere
安培克斯	Ampex
安培器	amperite
安塞爾莫	Anselmo
安塞波	Ansible
安多弗	Andover
安大略	Ontario
安妮	Anne\tAnnie
安妮塔	Anita
安妮斯頓	aniston
安妮特	Annette
安娜	ana\tAnna
安娜貝爾	Anabel
安定	anding\tvalium
安客誠	acxiom
安山岩	andesite
安徒生	Andersen
安德斯	anders
安德森	Anderson
安德洛瑪刻	Andromache
安德烈	Andre\tAndrei
安德烈亞	Andrea
安德烈亞斯	andreas
安德魯	Andrew
安德魯斯	Andrews
安徽	anhwei
安心	reassuring\treassurance
安必恩	ambien
安息	R.I.P
安息日	sabbath
安息香	benzoin
安慰	solace\tconsole
安慰了	consoled
安慰劑	placebo
安慰地	consolingly\tcomfortingly
安慰的	consoling\tcomforting
安慰者	consoler\tcomforter
安慰過的	solaced
安託萬	Antoine
安託瓦內特	Antoinette
安撫	soothe\tpacify
安撫奶嘴	pacifier
安撫的	soothed\tsoothing
安撫者	soother
安拉	Allah
安排	arrange\tarrangement
安排不當	misarrange
安排中	arranging
安排者	arranger
安提坦	Antietam
安提戈涅	Antigone
安提瓜	antigua
安放	reposal
安放的	reposed
安曼	Amman
安條克	Antioch
安傑洛	Angelo
安格斯	Angus
安泰俄斯	Antaeus
安海斯	Anheuser
安然	enron
安特衛普	Antwerp
安瑟倫	Anselm
安瓿	ampule\tampoule
安的列斯羣島	Antilles
安第斯山脈	Andes
安第斯的	Andean
安納托利亞	Anatolia
安納托利亞的	Anatolian
安納波利斯	Annapolis
安置	housed\tsituate
安色爾	uncial
安茹	anjou
安菲特律翁	amphitryon
安裝	mount\tinstall
安裝中	mounting
安裝件	mountings
安裝程序	installer
安裝者	mounter
安記	Anki
安達盧西亞	Andalusia
安達盧西亞人	Andalusians
安達盧西亞的	Andalusian
安達萊	andale
安迪	Andy
安道爾	Andorra
安靜	hush\tquiet
安靜下來	quieting
安靜了	quieted
安靜地	quietly
安靜的	hushed
安非他命	ionamin
安非他明	amphetamine
安非他酮	wellbutrin
安魂曲	requiem
宋	sone
完全	fully\twholly
完全地	entirely\tcompletely
完善	perfects\tperfecting
完善的	perfected
完好	intact
完封	shutout
完成	done\tfinish
完成中	finishing\tcompleting
完成了	completed
完成的	perfective\tconsummated
完成者	finisher\taccomplisher
完整	wholeness
完整性	entireness\tcompleteness
完整的	undivided
完美	consummate\tperfection
完美主義者	completist\tperfectionist
完美地	perfectly\tflawlessly
完美無瑕	faultless
完美的	perfect
完美雪茄	perfecto
宏	macro
宏偉	grand\tgrandiose
宏偉地	grandly
宏偉的	palatial
宏參數	macroparameter
宏庫	macrolibrary
宏碁	acer
宏觀世界	macrocosm
宏觀的	macroscopic\tmacroscopical
宏觀經濟學	macroeconomics
宏觀經濟的	macroeconomic
宏觀結構	macrostructure
宗主國	suzerain
宗主權	suzerainty
宗巴	Zomba
宗教	religion
宗教的	religious
宗派的	sectarian
官僚	bumbledom\tbureaucrat
官僚主義	beadledom\tbureaucracy
官僚主義者	bureaucratist
官僚作風	officialism
官僚化	bureaucratization
官僚機構	bureaucracies
官僚的	bureaucratic
官員	officials\tfunctionary
官方地	officially
官方的	official
宙	eon
宙斯	Zeus
定中心	centering
定義	def\tdefine
定義的	definitional
定義者	definer
定價	priced\tpricing
定價工具	pricetool
定價者	pricer
定位	locate\tlocalizes
定位中	locating\tlocalizing
定位器	locator\tlocalizer
定位的	positioned
定製	custom\tcustomise
定製中	customizing
定製器	customizer
定製的	bespoke\ttailored
定製者	customizers
定向的	directional
定型	typecast
定子	stator
定尺寸	sizing
定尺寸器	sizer
定尺寸材料	sizings
定居	settled\tsettling
定居鄉間	rusticates\trusticating
定居鄉間的	rusticated
定居點	settlements
定居者	settler
定性上	qualitatively
定性的	qualitative
定時的	timed
定期地	regularly\tperiodically
定標器	scaler
定步調	pacemaking
定理	theorem
定罪	convict\tconviction
定罪的	damning
定論	clincher
定語	attributive
定語地	attributively
定量上	quantitatively
定量的	quantitative
定音鼓	timbal\ttimpani
定音鼓手	timpanist
宜人地	congenially
宜人性	congeniality
宜人的	agreeable\tcongenial
宜居	livable
宜居地	livably
寶麗來	Polaroid
寶蘭	borland
寶可夢	pokemon
寶塔	pagoda
寶寶	bb
寶開	PopCap
寶開遊戲	PopCap Games
寶石	gem\tjewel
寶石匠	lapidary
寶石學	gemology\tgemmology
寶石學的	gemological\tgemmological
寶石般的	gemmy
寶石雕刻	glyptic
寶石雕刻學	glyptics
寶萊塢	bollywood
寶藏	golconda\ttreasure
寶貝	babs
寶貴的	valued
寶馬	BMW
寶馬公司	Bayerische Motoren Werke AG
實業家	industrialist
實習	intern\tinternship
實習中	interning
實習醫生	interne
實習生	interns
實體	entity\tentities
實例	instance
實例化	instantiate\tinstantiation
實況照片	Live Photos
實地工作	fieldwork
實幹者	doers
實惠的	affordable
實數	reals
實施	implement\timplementation
實施中	implementing
實施的	implemental
實施者	implementor\timplementer
實時	realtime
實時重載	LiveReload
實物	realia
實物幻燈機	epidiascope
實現	achieve\trealize
實現中	achieving\trealizing
實現的	materialized
實用主義	pragmatism
實用主義者	pragmatist
實用性	practicality
實用的	practical
實質	substantive
實質上	materially\tsubstantively
實質內容	substantials
實質性	substantivity\tsubstantiality
實質的	substaintial
實踐	praxis\tpractice
實際	actual
實際上	actually\tpractically
實驗	experiment\texperimentation
實驗上	experimentally
實驗室	lab\tlaboratory
實驗的	experimental
實驗者	experimenter
寵	pam
寵愛	cosset
寵物	pet
審判	trial
審判室	courtroom
審前的	pretrial
審慎	prudent
審慎地	prudently\tscrupulously
審慎的	prudential\tscrupulous
審查	censor\treview
審查中	reviewing
審查制度	censorship
審查員	censors\treviewer
審查的	censored\tcensorial
審查者	scrutator
審美上	aesthetically
審視地	appraisingly
審計	audit
審計員	auditor
審計官	comproller\tcomptroller
審計的	auditorial
審議的	deliberative
審議者	deliberator
審訊	interrogation
審問	interrogate
審問官	inquisitor
審問的	inquisitorial
審問者	interrogator
客串	cameo
客人	guest
客廳	parlor\tparlour
客戶	client
客戶信息控制系統	cics
客戶關係	clientage
客戶羣	clientele
客戶識別	kyc
客機	airliner
客棧	serai
客氣話	pleasantry
客西馬尼	gethsemane
客觀地	objectively\timpersonally
客觀性	impersonality
客觀的	objective\timpersonal
宣傳	promo\tpublicize
宣傳中	publicizing
宣傳員	flack
宣傳者	propagandist
宣傳鼓動	agitprop
宣敘調	recitative
宣告	enounce\tproclaim
宣告中	proclaiming
宣告器	annunciator
宣告的	heralded
宣告者	proclaimer
宣威	Sherwin
宣佈	declare\tannounce
宣佈的	declared
宣佈者	declarer
宣泄	abreact\tcatharsis
宣泄的	cathartic
宣禮員	muezzin
宣禮塔	minaret
宣言	manifesto\tpronunciamento
宣誓	sworn
宣誓下	underoath
宣誓書	affidavit
宣誓人	affiant
室內的	indoor
室友	bunkmate\troommate
憲政	constitutionalism
憲法	constitution
憲法上	constitutionally
憲法的	constitutional
憲章	Charta\tcharter
宮殿	palace
宮頸	cervical
害怕	afraid\tscared
害怕地	fearfully
害怕的	feared\tfearing
害相思病的	lovesick
害羞	shy\tshyness
害羞地	shyly
害羞的	coy\tbashful
害蟲	pest\tvermin
害蟲的	verminous
宴會	banquet
宴席	banquets
宴請	banqueting
宴飲	feasting\tbanquetings
宵禁	curfew
家	home
家樂氏	Kellogg
家鄉	hometown
傢伙	guy\tchap
傢俱	furniture
家養	homebred
家務	housework\thousewifery
家園	homestead
家居服	housecoat
家居用品	housewares
家庭	family\tménage
家庭主義	familism
家庭套件	HomeKit
家庭廣告攔截	AdguardHome
家庭生活	domesticity
家族的	familial
家神	Lares\tteraph
家禽	poultry
家蠅	housefly\thouseflies
家譜	stemma\tgenealogy
家譜學家	genealogist
家譜的	genealogical
家釀	homebrew\thome-brew
家長	paterfamilias
家長制	paternalism
家長式的	paternalistic
容器	vessel\tcontainer
容器化	containerize\tcontainerise
容器守護進程	containerd
容器編排平臺	ks\tkubernetes
容忍	brooked\ttolerate
容忍中	tolerating
容易	easy
容易地	easily
容積	cubage
容納	accommodate
容許的	admissive
容量	capacity
寬大	leniency
寬大地	leniently
寬大的	beamy\tlenient
寬宏大量	magnanimity
寬宏大量的	magnanimous
寬宏的	bighearted
寬客	quant
寬容	toleration
寬容地	tolerantly\tforgivingly
寬容的	tolerant\tforgiving
寬屏的	widescreen
寬帶	broadband
寬帶的	wideband
寬幅地毯	broadloom
寬度	width\tbreadth
寬恕	condone\tforgiveness
寬敞	roominess\tcapaciousness
寬敞地	roomily\tcapaciously
寬敞的	roomy\tspacious
寬鬆上衣	sacque
寬鬆的	baggy
寬的	wide
寬維恩	widevine
寬邊帽	sombrero
寬通用公共許可證	LGPL\tGNU Lesser General Public License
寬闊的	broad
賓利	Bentley
賓厄姆	Bingham
賓厄姆頓	Binghamton
賓夕法尼亞	Pennsylvania
賓州	Penn
賓州人	pennsylvanian
賓得	pentax
賓果	bingo
賓格的	accusative
賓莎犬	pinscher
宿命的	fatalistic
宿命論	fatalism
宿命論者	fatalist
宿舍	dorm\tdormitory
宿醉	hangover
寂寞的	lonesome
寂靜	silences\tstillness
寂靜主義	quietism
寂靜主義者	quietist
寂靜的	stilly
寄件人	mailer
寄養	fosterage
寄宿	lodge
寄宿公寓	boardinghouse
寄宿生	boarder
寄託	bailment
寄託人	bailor
寄生	parasitis
寄生現象	parasitics\tparasitism
寄生的	parasitic
寄生蟲	sponger\tparasite
寄生蟲學	parasitology
密克羅尼西亞	Micronesia
密克羅尼西亞人	Micronesian
密克隆	miquelon
密友	crony
密史脫拉風	Mistral
密室	backroom\tpenetralia
密封	sealing
密封劑	sealant
密封器	sealer
密封地	hermetically
密封的	sealed\tairtight
密爾沃基	Milwaukee
密度	density\tdensities
密度計	densitometer
密探	nark
密文	ciphertext
密歇根	Michigan
密涅瓦	Minerva
密特拉	mithras
密碼	cypher\tcipher
密碼分析	cryptanalysis
密碼分析員	cryptanalyst
密碼分析的	cryptanalytic
密碼學	cryptology\tcryptography
密碼學家	cryptologist\tcryptographer
密碼文	cryptogram
密碼的	cryptographic
密立根	Millikan
密紋	microgroove
密織棉布	percale
密耳	mil
密蘇里	Missouri
密蘇里州人	missourian
密西沙加	mississauga
密西西比	Mississippi
密西西比州人	Mississippian
密談	collogue
密謀	conspire\tintrigue
密謀中	conspiring
密謀了	conspired
密鑰生成器	keygen
密集	serried\tdenseness
密集地	densely\tintensively
密集的	dense\tintensive
富人	haves
富克斯	Fuchs
富蘭克林化	Franklinization
富農	kulak
富勒頓	Fullerton
富可視	InFocus
富圖納	futuna
富士	Fuji
富士相機	FinePix
富士膠片	FujiFilm
富士通	Fujitsu
富爾頓	Fulton
富布賴特	Fulbright
富文本格式	rtf\tRich Text Format
富有想象力地	imaginatively
富有想象力的	imaginative
富有成效地	fruitfully
富有成果的	fruitful
富有的	rich\toofy
富有表現力地	expressively
富有表現力的	expressive
富水的	waterrich
富特	Foote
富礦	bonanza
富翁	moneybags
富裕	opulence\taffluence
富裕地	wealthily
富裕的	affluent
寒冷	chill\tcoldness
寒冷地	frigidly\tchillingly
寒冷的	frore\tnippy
寒武紀	Cambrian
寒鴉	jackdaw
寓言	fable\tparable
寓言地	allegorically
寓言家	fabulist\tallegorist
寓言的	allegoric\tallegorical
寢具	bedding
察覺	sensed\tperceive
察覺不到地	imperceptibly
察覺不到的	imperceivable\timperceptible
察覺的	perceived
察覺者	perceiver
寡頭	oligarch
寡頭壟斷	oligopoly
寡頭政治	oligarchy
寡婦	widow
對	unto\tpairs
對位	counterpoint
對位的	contrapuntal
對沖	hedged
對決	showdown
對半者	halvers
對句	distich\tcouplet
對唱	antiphonal
對應	correspond
對應物	counterpart
對開	folio
對待	treat
對手	rival\tfacer
對抗	countering\tconfrontation
對抗劑	counteragent
對抗吸引力	counterattraction
對抗療法	allopathy
對抗療法醫師	allopath
對抗的	confrontational
對抗者	confronter
對接	docking
對數	logarithm
對數地	logarithmically
對數的	logarithmic
對映體	enantiomorph
對比	vs\tcontrast
對比地	contrastingly
對比者	contraster
對流	convect\tconvection
對流層	troposphere
對流的	convective
對流管	convectron
對稱	symmetry\tsymmetric
對稱地	symmetrically
對稱性	symmetries
對立	contrariety
對立性	oppositeness
對立教皇	antipope
對立物	opposites
對立的	diametric\tantithetical
對立面	antitheses\tantithesis
對答的	amoebean
對策	countermeasure
對練	sparring
對耳輪	antihelix
對苯二酚	hydroquinone
對蝦	prawn
對襟衣	doublet
對角地	diagonally
對角線	diagonal
對講	talkback
對講機	walkie\tintercom
對話	dialog\tduologue
對話框	dialogs
對話模型	LaMDA
對話者	dialogist\tinterlocutor
對象關係映射	TypeORM
對象存儲	MinIO
對象存儲服務	Object Storage Service
對蹠地	antipodes
對蹠點	antipode
對蹠的	antipodal
對轉螺旋槳	contraprop
對陰極	anticathode
對面	ferninst
對韻遊戲	crambo
對齊	align\taline
對齊的	aligned
寺廟	temple
尋呼機	pager
尋回犬	retriever
尋址	addressing
尋求	seek\tquest
尋求中	questing
尋求了	quested
尋求者	seeker\tquester
尋熟女者	milfseeker
導體	conductor
導向	orients\toriented
導師	tutor\tmentor
導彈	missile
導彈技術	missilery
導數	derivative
導流係數	perveance
導遊	ciceroni\tcicerone
導演	director
導火索	portfire
導電性	conductivity\tconductibility
導電的	conductive
導管	conduit\tcatheter
導致	caused\tconduce
導航	nav\tnavigate
導航中	navigating
導航了	navigated
導航員	navigator
導航的	navigational
導購員	shopwalker
壽司	sushi
壽司交換	SushiSwap
壽命	lifespan
封聖	canonize\tcanonization
封地	fief\tfeoff
封地授予	feoffment
封建主義	feudalism
封建地	feudally
封建的	feudal\tfeudalistic
封檐板	bargeboard
封爵	knighted\tknighting
封臣	vassal\tfeudatory
封裝	encapsulate\tencapsulation
封裝中	encapsulating
封鎖	lockdown\tblockade
封鎖者	blockader
封頂	capped\tcapping
封頂器	capper
射擊	shot\tshoot
射擊孔	embrasure
射擊術	gunnery
射手	shottr\tArcher
射手座	Sagittarius
射電天文學	radioastronomy
射程	bowshot
射箭	archery
射精	cumshot\tejaculate
射精中	ejaculating
射精了	ejaculated
射精器	ejaculator
射精的	ejaculatory
射線	ray\txray
射線照片	radiograph
射線管	raysistor
射線距離	raydist
射線透視	radioscopy
射線金相學	radiometallography
將	shall\tshalt
將軍	shogun\tgenerals
將才	generalship
將死	checkmate
將要	gonna
尊嚴	dignity\tdignities
尊崇	hallow
尊敬	esteems\tvenerate
尊敬的	esteemed
尊重	esteem\trespect
尊重的	regardful
尊重者	respecter
小	small
小丑	clown\tjoker
小丘	knoll\thummock
小串烤肉	brochette
小鄉紳	squireen
小爭吵	spat
小云	cloudlet
小人國	Lilliput
小人國的	Lilliputian
小人物	whiffet\tpipsqueak
小夥子	lad\tladdic
小便	pee\tpiss
小便器	urinal
小偷	thief\tstealer
小儲藏室	cubbyhole
小兒麻痹症	polio
小兔子	bunnies
小公寓	flatlet
小公雞	cockerel
小冊子	booklet\tbrochure
小冊子作者	pamphleteer
小寫	lowercase
小農	smallholder
小農場	croft
小冠冕	coronet
小衝突	skirmish
小凳	taboret\ttabouret
小刀	penknife
小刺	spicula
小動物	critter
小動脈	arteriole
小動脈的	arteriolar
小十字	crosslet
小南瓜	pattypan
小衛星	moonlet
小卷	kinkle
小卷發	ringlet
小廚房	kitchenette
小葉	lobule
小葉的	lobular
小號	trumpet
小號字體	brevier
小喫	nosh\tsnack
小哨兵	Little Snitch
小國王	kinglet
小圓帽	calotte\tzucchetto
小圓麪包	bap\tbun
小圓齒	crenelet
小圈子	clique\tcoterie
小塊	morsel\tnubble
小塊地	plat
小堅果	nutlet
小型出租車	minicab
小型化	miniaturize\tminiaturization
小型化的	miniaturized
小型汽車	cyclecar
小型盒帶	minicartridge
小型計算機	minicomputer
小型鋼琴	spinet
小墊布	doily
小夜曲	serenade
小天使	cherub
小頭畸形	microcephaly
小頭畸形的	microcephalous
小奏鳴曲	sonatina
小獎章	medalet
小姐	Miss\tMissy
小姑娘	lassie
小娜	cortana
小子	sirrah
小孔	ventage\tostiole
小孢子	microspore
小孩	tot\ttyke
小寶貝	poppet
小屋	hut\tlodges
小山	hill\tkopje
小島	cay\tislet
小島羣	islets
小巧的	dinky
小巴	jitney\tminibus
小巷	wynd\talley
小帆船	yawl\tlugger
小牀	cot
小徑	trail\tbypath
小心	careful
小心地	gingerly\tcarefully
小快板	allegretto
小總苞	involucel
小惡魔	imp
小房間	cuddy\troomette
小打小鬧	smalltime
小折刀	pocketknife
小報	tabloid
小披風	mantlet
小指	pinky\tpinkie
小提琴	fiddle\tviolin
小提琴手	fiddler\tviolinist
小插圖	vignette
小擺設	knickknack
小教堂	chapel
小數	decimals
小數點	decimal point
小斗篷	mantelet
小旗	fanion
小時	hour
小曲	ditty
小月牙	lunule\tlunette
小服務程序	servlet
小木料	scantling
小機車	dinkey
小村莊	hamlet
小杯	noggin\tjigger
小林	Kobayashi
小果餡餅	tartlet
小柱	columella
小樹林	grove\tcopse
小根	rootlet
小桶	keg\tfirkin
小橡樹	oaklet
小歌	canzonet
小步舞曲	minuet
小母牛	heifer
小母馬	filly
小母雞	pullet
小毛頭	shaveling
小氣地	pettily
小氣鬼	piker
小波	wavelet
小海雀	auklet
小湖	lakelet
小灣	cove
小溪	rill\tbeck
小滴	droplet
小潮	neap
小火箭	Shadowrocket
小點	dit\ttittle
小片	sippet
小牙的	microdont
小牛	calf\tcalves
小牛的	vituline
小牛皮	calfskin
小牛肉	veal
小牛胸腺	sweetbread
小狐狸錢包	MetaMask
小狗	feist\tpuppy
小獵鷹	falconet
小豬	piggy\tshote
小貓	kitty\tkitten
小貓頭鷹	owlet\thowlet
小貓般的	kittenish
小玩意	gizmo\tbauble
小玩意兒	doohickey
小環	circlet
小球體	spherule
小瓦罐	pipkin
小瓶	vial
小甜餅	cooky\tcookey
小瘤	nubbin
小白菊	feverfew
小的	petit\tlittle
小盒	pyxis
小盾片	scutellum
小睡	nap\tsnooze
小程序	applet
小穗	spikelet
小窗	fenestella
小管	tubule\tcanaliculus
小米	millet
小精靈	gremlin\tleprechaun
小紈絝	fopling
小組委員會	subcommittee
小組成員	panelist
小細胞	cellule
小缺點	foible
小罐	cruse
小羊皮	kidskin
小羚羊	grysbok
小羽枝	barbule
小羽毛	plumelet
小腦	cerebella\tcerebellum
小舌音	uvular
小艦隊	flotilla
小船	wherry
小艇	skiff\tdinghy
小節	subsection
小花	floret\tfloweret
小蒼蘭	freesia
小蘇打	saleratus
小蘋果	jargonelle
小蟲	punkie
小行星	asteroid\tplanetoid
小行星的	asteroidal
小袋	pouch\tsachet
小裝置	gadget\tgadgetry
小裝置的	gadgety
小裝置迷	gadgeteer
小計	subtotal\tsubtotalled
小說	novel\tfiction
小說AI	NovelAI
小說家	novelist
小說的	novelistic
小謊	fib
小谷	dell
小販	hawker\tpedlar
小販業	peddlery
小販船	bumboat
小貴族	lordling
小費	tip\tcumshaw
小費嚮導	tipwizard
小跑	trot
小路	byroad
小軟盤	minifloppy
小過失	peccadillo
小道	byway
小部件	widget
小酒杯	snifter
小酒館	groggery
小鏈	chainlet
小鍋	pannikin
小錨	kedge
小鍵盤	keypad
小鎮	bourg
小門	wicket
小隊	squad
小隔間	cubby\tcarrel
小集團主義	cliquism
小雕像	figurine\tstatuette
小領導	leaderette
小額紙幣	shinplaster
小風笛	musette
小餐館	bistro\tluncheonette
小飾品	trinket
小馬	colt\tpony
小馬羣	colts
小魚	minnow\tfingerling
小鯡魚	brit\tbrisling
小鱒魚	troutlet
小鳥	birdie
小雞	chick
小鴨	duckling
小鵝	gosling
小鷹嘴豆	chickling
小鹿	brocket
小鹿斑比	Bambi
小麥	wheat
小麥的	wheaten
小黃瓜	gherkin
小黑孩	pickaninny
小龍蝦	crayfish
少女	lass\twench
少女峯	jungfrau
少女時期	girlhood
少年	stripling
少年時代	boyhood
少找錢	shortchange
少數	few\tminority
