#兼容所有拼音類型的公共簡碼庫	
gj	感覺	根據	關鍵
gxu	更像是	剛想說	管閒事
gxx	感謝信	共享下
gyb	僱傭兵	工業部	過一遍
gyg	高壓鍋	狗咬狗	更應該
gyh	工業化
gyl	供應鏈	夠用了
gyu	更衣室
gzl	工作量	骨子裏	瓜子臉
gzu	工作室	工作上	劊子手
gzv	工作者	高增長	工作證
hbd	恨不得	還不到	荷包蛋
hbh	會不會	好不好
hbl	回報率	回不來	花不了
hbn	還不能	很彆扭	何必呢
hbx	還不行	後備箱	還必須
hdl	好多了	合得來	活到老
hdt	好多天	核冬天
hej	華爾街	花兒匠	合恩角
hez	華爾茲	好兒子
hgr	回鍋肉	韓國人
hgt	回過頭	還給他
hgu	H股	花果山	回過神
hhb	還好吧	黃褐斑	豪華版
hhh	哈哈哈	好好好	黑乎乎
hhl	黃昏戀	還好了
hht	還好聽
hhu	活化石	揮揮手	好好說
hhw	化合物
hil	回潮率	很喫力	後處理
hip	火車票
hiq	緩衝區	豁出去	火出圈
hiy	還處於
hkg	很可觀
hkn	很可能
hkp	很靠譜
hlh	好厲害	很厲害	合理化
hlj	黑龍江	狐狸精
hll	回來了	灰溜溜	轟隆隆
hlu	花露水	行列式
hlx	合理性
hmd	黑名單	還沒動	緩慢的
hmh	還沒好
hmj	護目鏡	蛤蟆鏡
hmy	還沒有	鴻門宴	黃梅雨
hnk	賀年卡	後腦殼
hnl	很努力	會努力	湖南路
hnw	海內外	漢諾威
hpl	很漂亮	害怕了	好評率
hqg	很奇怪	好奇怪
hqx	好奇心	很慶幸	很清晰
hti	火腿腸	糊塗蟲
hul	換手率	黃鼠狼	和事佬
huz	紅十字	活受罪
hvl	號召力
hwb	紅衛兵
hwl	好無聊	很無聊
hxg	好習慣	虹吸管
hxh	很喜歡	海協會	還喜歡
hxi	候選窗	火星車
hxk	很辛苦	候選框
hxn	和稀泥	好想你
hxq	好心情	幻想曲
hxr	候選人	好心人
hxu	好像是	化學式
hxx	好消息	壞消息	候選項
hxy	壞心眼
hxz	黑匣子
hyg	還有個	換一個	好一個
hys	好意思	會有所
hyv	換言之	後遺症	換一種
hyw	何意味	還以爲	火藥味
hyy	黑黝黝	化驗員
hzm	還在嗎	孩子們
hzn	還早呢
hzq	孩子氣	盒子槍
ibd	差不多	成本低
ibg	喫不慣	醜八怪	超不過
ibl	喫飽了	差不了	差不離
ibq	出不去	撐不起
ibu	出版社	長白山	成本是
icu	純粹是	儲藏室
idu	稱得上	成都市	傳達室
ihh	茶話會	臭烘烘	超豪華
ikq	喘口氣	窗口期
ill	出來了	赤裸裸
inp	吹牛皮
ipz	秤盤子
iql	出去了	充其量	重啓了
iqt	出氣筒	常青藤
irb	傳染病
irf	喫軟飯
ism	傳送門
itg	牀頭櫃	抽屜櫃	車同軌
iub	炊事班
ivq	沉住氣	成長期
ivw	稱之爲	楚莊王
iwg	儲物櫃	唱完歌	寵物狗
iwl	成爲了	喫完了
ixb	插線板	出血病	暢銷榜
ixu	暢銷書	超現實	出現時
ixv	初學者	赤霞珠
ixx	持續性	穿小鞋	超小型
ixy	程序員	產學研	程序猿
ixz	出現在	朝鮮族	趁現在
iyd	差一點	常言道
iyg	成員國	差一個
iyh	差異化	產業化
iyl	差遠了	扯遠了	產業鏈
iym	出遠門	純爺們
iyz	常用字	喫柚子	出月子
izv	創作者	創造者
izx	創造性
jbg	基本功
jbh	絕不會	金不換	決不會
jbi	講不出
jbk	幾百塊
jbl	解不了
jbn	就不能	決不能	絕不能
dky	都可以
jbq	經不起	記不清	就不去
jbu	基本上	絕不是
jbv	禁不住	記不住	架不住
jbx	就不行	聚丙烯
jby	就不要
jcy	僅次於	檢測儀
jdh	機頂盒	簡單化	簡單鶴
jdv	景德鎮	經得住	幾點鐘
jfj	解放軍	進房間
jfl	解放了	傑弗裏
jgg	九宮格	就剛剛	結構光
jgi	軍工廠	加工廠	進工廠
jgq	幾個錢	機關槍
jgr	幾個人	交割日
jgs	見光死	及格賽	進公司
jgt	結構圖	賤骨頭	就給他
jgv	緊箍咒	幾個鍾	就跟着
jgx	結構性	進攻性	金龜婿
jgy	幾個月	節骨眼	加工業
jhl	就好了	進化論	急壞了
jhu	幾乎是	交互式	九華山
jhv	結婚證	結婚照
jhx	就好像	計劃性	幾何學
jhy	就會有	嫁禍於
jhz	簡化字	叫花子	就會在
jjb	精簡版	交接班	就基本
jjd	簡潔	就覺得	漸漸的
jjh	幾句話	基金會	交際花
jjj	見解	殲擊機	叫叫叫
jjq	加進去	經濟區	錦江區
jju	究竟是	狙擊手	舊金山
jjv	緊接着	佼佼者
jjw	紀檢委	拒絕我	救救我
jjx	簡潔	經濟學	積極性
jkd	寄快遞
jkk	據可靠
jkl	加快了	進口量	經看了
jkn	儘可能	極可能
jku	教科書
jky	就可以
jlb	俱樂部	加勒比	接力棒
jll	角落裏	積累率
jlp	紀錄片	就離譜	吉隆坡
jlr	經理人
jlv	軍令狀	居留證
jnq	幾年前
jpg	捲鋪蓋
jqb	剪切板
jqr	機器人
jrl	加入了	進入了
jug	幾十個	就是個
jsj	計算機	結算價
jsl	就算了	急死了
jsq	計算器	加速器
jsu	就算是	江蘇省	近似商
jtb	剪貼板	腳踏板	就特別
jut	精神頭	嚼舌頭
jvd	就知道	精緻的
jvg	價值觀	金針菇	九寨溝
jvh	江浙滬	鏡中花
jvl	競爭力	記住了
jvu	簡直是	就直說	建築師
jvw	建築物	急轉彎
jvx	甲狀腺	集裝箱	就這些
jvy	就這樣	就職於	肩周炎
jxq	解析器	交響曲	階下囚
jzg	節奏感	架子鼓	就做個
jzl	就走了	鏡子裏	君子蘭
jzr	盡責任
kbi	看不出	看不穿	空白處
kbq	看不起	看不清
kbt	看不透	可不填
kbu	看不上	可不是
kbz	哭鼻子	扛把子	快步走
kcl	看錯了	坑慘了
kdr	肯定讓
kfb	開發版
kfj	咖啡機	空房間
kgl	看過了	考過了
kgq	開過去
kgx	客觀性	考古系
kgz	嗑瓜子
khd	客戶端	可獲得
kil	看出來	看穿了	開創了
kjj	快捷鍵	哭唧唧	科技界
klk	看了看	開了口
kll	卡路里	空落落	客流量
klu	崑崙山	快樂水
kly	窟窿眼	看了眼
kmd	孔明燈	苦命的
kmu	開幕式	昆明市
knb	可能被	可能吧
knd	可能都	跨年度	可能對
knu	可能是	可能使
kny	可能有	肯尼亞
kqb	狂犬病	哭去吧
kqk	看情況	口腔科
kql	看起來	開啓了
krj	苦肉計	可溶解
ksl	坑死了	克蘇魯	開塞露
kti	口頭禪	開天窗
kuj	跨世紀	開始就
kuv	口水戰	口水仗
kvb	看着辦	看着吧
qvl	驅逐令	卡住了
kwc	開胃菜
kwl	快完了
kwx	開玩笑	顆衛星
kxj	科學家	科學界
kxl	可惜了	扛下了
kxs	苦行僧	苦相思
kyi	開夜車	可以喫
kyk	看一看	可以看
kyl	可以了	可用來
kyu	可以說	跨越式
kyx	看一下	可用性	快一些
kyz	看樣子	可以在
kzj	看自己
kzl	卡在了
kzy	看走眼	摳字眼
lbq	了不起	理不清	冷兵器
lbs	老不死	蘿蔔絲
ldf	老地方	勞動法
ldh	拉丁化	來電話
ldl	勞動力	來到了	聊得來
ldv	勞動者
lfb	兩分半
lfm	兩方面	立方米	老父母
lfq	老父親	來福槍	立法權
lgf	勞改犯	驢肝肺	洛國富
lgl	利滾利	了過來
lgq	盧溝橋	了過去
lgz	兩個字	六個字
lhl	厲害了	老黃曆	來衡量
lhn	氯化鈉	老黃牛
llh	老齡化	攔路虎	聯絡函
lll	來了	啦啦啦	狼來了
llq	瀏覽器	拉力器
lnr	老年人	遼寧人
lpb	老婆本
lql	連起來	了起來
lsy	類似於	硫酸鹽
luz	勞什子
ltg	立體感	龍頭股
lth	兩天後
ltq	愣頭青	亂彈琴	兩天前
ltt	老太太	立體圖
ltw	立陶宛	量體溫
lty	老天爺	領頭羊
ltz	爛攤子	老頭子	撂挑子
lux	歷史學	臨時性
lvp	連珠炮
lxj	連續劇	老學究	螺旋槳
lxu	兩小時	老先生	旅行社
lyg	另一個	老眼光	了一個
lyt	老一套	老油條
lyz	老樣子	老爺子	老油子
mbd	買不到	忙不迭
mbf	沒辦法
mbl	明白了	免不了
mbv	明擺着	摸不着	沒保障
mbx	麪包屑	沒保險	沒兵線
mdb	沒得比	木地板
mdd	目的地	買得到
mdh	牡丹花	馬大哈	忙得很
mdl	麥當勞	馬德里
mdx	買東西	目的性
mdz	慢動作	沒膽子
mfy	沒反應	眯縫眼
mgh	玫瑰花	湄公河	玫瑰紅
mgr	每個人	某個人	美國人
mhp	馬後炮
mhv	迷魂陣
mhy	模糊音	馬虎眼	蒙汗藥
mjh	每句話	沒機會
mjl	沒救了	孟加拉
mjv	目擊者	沒記住
mkg	沒看夠
mlg	摩洛哥	買了個
mlh	命令行	茉莉花	母老虎
mlm	摸了摸	沒禮貌
mlq	賣力氣	買路錢	沒力氣
mlx	昧良心	免禮姓
mmb	沒明白	密碼本
mmt	摸摸頭
mmu	明明是	慢慢刷
mmz	萌妹子	沒面子	明明在
mng	摩納哥	沒那個
mnq	模擬器
mnz	滿腦子	沒腦子
mph	門牌號	冒牌貨
mpj	馬屁精
mql	沒錢了	米其林	煤氣爐
mqz	馬前卒	煤氣竈	目前在
mrf	魔然繁
mrh	猛如虎
mrj	魔然簡	美人計	猛然間
mrl	沒人理	沒人了	沒人來
mrr	毛茸茸	毛絨絨
mrv	默認值
mrx	沒人性	慢熱型	明日香
msb	沒事吧	慢三步	沒死吧
mud	沒事的
mug	沒事幹	冒失鬼	面試官
muj	沒時間
msk	莫斯科	馬賽克
mul	沒事了	馬上來
mum	沒什麼
msu	貌似是
muz	美術字	馬上做
mtg	沒聽過	沒停過	沒通過
mht	明後天	獼猴桃	棉花糖
mth	摩托化	滿堂紅	沒調好
mti	摩托車	木糖醇	買糖喫
mub	沒事吧	門市部
mue	沒事兒	馬紹爾
mvd	沒找到	明知道	民主黨
mvg	沒這個	滿洲國
mvx	毛主席	買這些	瞄準線
mwh	沒文化	門外漢
mwj	沒忘記
mwt	沒問題	蒙文通
mxh	沒學會	沒想好
mxn	每學年	沒懸念
mxq	沒興趣	每星期	沒心情
mxy	莫須有	沒響應	毛星雲
myf	每一份	每一分	免運費
myg	每一個	某一個	沒用過
myl	沒有了	免疫力	沐浴露
myp	慢一拍	每一批	悶油瓶
myq	牧羊犬
myt	每一天	麥芽糖	某一天
myv	每一種	貿易戰	某一種
myw	每一位	某一位
myx	每一項	沒有像
mzl	滿足了	名字裏
mzz	美滋滋
naw	你愛我
nbd	弄不懂	拿不定	拿不動
nbe	尼泊爾	諾貝爾
nbh	弄不好	捏把汗	那不會
nbi	難不成	南北朝	那不成
nbn	能不能	難不難
nbx	你不信	那不行
ndd	你懂的	難度大	難得的
ndu	難道說	那倒是	那都是
ndw	難道我	耐低溫	你逗我
ngb	南瓜餅
ngm	你幹嘛	鬧革命
ngr	那個人	你個人
ngs	能告訴
nhh	鬧哄哄	黏糊糊	那還好
nhl	腦回路	拿回來	腦海裏
nhz	女孩子	男孩子
nip	農產品
njg	那幾個	哪幾個
njh	那句話	那傢伙	鬧饑荒
njj	牛角尖	你究竟
njl	凝聚力	農家樂	你將來
njr	孃家人
njv	南極洲	哪幾種	那簡直
njy	諾基亞	你就要
nku	那可是
nlv	奴隸制	奴隸主
nmb	那麼辦	弄明白
nmg	內蒙古	那麼高	農民工
nmj	那麼久	你們家
nml	你們倆
nnb	你牛逼
npw	你陪我
npy	女朋友	男朋友
nqd	年輕的	你確定
nql	拿起來	哪去了
nqr	年輕人	女強人	那羣人
nqu	年輕時
nrw	你認爲	女人味
ntj	哪條街
nud	你說的
nuh	那時候
nvw	鬧着玩	你找我
nvz	那陣子
nwq	難爲情	你無情	諾維奇
nxh	女性化	男性化	鬧笑話
nxr	那些人	哪些人	寧夏人
nyg	哪一個	你應該
nyj	那一句	你已經	農業局
nyl	哪一類
nyt	那一天	那一套	哪一天
nyu	你也是	那也是
nyv	哪一種	那一種
nyy	暖洋洋	你願意
nzh	男子漢	你最好
nzl	腦子裏	拿走了
nzw	農作物	你作爲
ooo	哦哦哦
pbg	皮包骨	跑不過	拼不過
pbl	跑不了
pbu	配不上	賠不是	怕不是
pdg	平底鍋	配得感
pdl	判斷力	潘多拉	跑掉了
pdu	配得上	偏導數
pdz	碰釘子
pgl	跑過來
pgq	跑過去
phb	排行榜	排好版
pil	批處理
pjh	啤酒花	跑江湖
plh	漂亮話	破爛貨	批量化
plm	拼了命	婆羅門	派拉蒙
plu	潑冷水	鋪路石	普魯士
pmk	貧民窟
pmp	拍馬屁	拼命跑
pnd	騙你的
pnr	泡女人
pql	拋棄了	爬起來	跑起來
psg	怕死鬼
pum	憑什麼
ptd	普通的	騙他的
pth	普通話	破天荒
ptj	葡萄酒	普通級	配套件
pul	憑實力	排水量	盤山路
pvb	平裝本	配置包	配置表
pwd	騙我的
pxp	拍胸脯	拍相片
qad	親愛的	淇澳島
qbg	氣不過	敲邊鼓
qbj	前不久	起步價	情報局
qbl	去不了	起不來
qbq	瞧不起	去不去	強不強
qbt	丘比特	前半天	千比特
qbu	且不說	卻不是	豈不是
qdl	取得了	氣動力	強多了
qdx	確定性	確定下
qfr	簽發人
qfw	全方位	搶飯碗
qgd	窮光蛋	屈光度	奇怪的
qjf	強姦犯	全家福	窮舉法
qjn	前幾年	請教您	區間內
qjr	全家人	前幾日
qju	起居室	情景時
qkl	巧克力	區塊鏈	氣哭了
qkx	情況下
qlh	起來嗨	秋老虎
qll	起來了
qlq	瞧了瞧
qlt	前兩天	羣聊天
qlx	請聯繫	強類型	前列腺
qly	千里眼	清涼油
qsb	去死吧	去送吧
qud	請稍等
qsl	氣死了	窮死了	前蘇聯
qvg	敲竹槓	全中國
qvt	窮折騰	去找他
qvu	牽着手
qwb	翹尾巴
qxl	取消了	取下了	全系列
qxy	傾向於	趨向於	缺心眼
qys	清一色
qyt	前一天
qyw	前一晚	竊以爲	全英文
qyz	起源自	奇亞籽
qzd	全自動	潛在的	卻遭到
qzl	去做了
rbu	若不是	人本身
rbv	忍不住	肉搏戰
rcm	人聰明	容錯碼
bre	不入耳
jcq	寄存器
rfz	人販子
rgd	日光燈	如果到
rgt	如果他	如果她	軟骨頭
rhl	如何了	日活量
rhr	任何人
rjd	人家的
rjq	乳膠漆	扔進去
rlf	人來瘋	如來佛	燃料費
rmb	人民幣	軟麪包
rmd	人民黨	人們的
rpl	人跑了
rql	人齊了	肉起來
ruh	熱水壺
rxi	熱心腸	日系車
rxq	扔下去	人心齊
ryr	人與人	忍一忍
rzl	人走了
rzn	孺子牛
sbl	算不了	隨便了	死不了
sbx	四不像	三八線	塞不下
scy	三次元	塞擦音
sdu	算得上	蘇打水	所得稅
sdv	所導致
sfq	伺服器	三分球	私房錢
sfv	三分鐘	散發着
sgj	死規矩	撒個嬌
sgr	三個人	四個人
sgy	三個月	四個月
sjb	三句半	隨機本
sjd	三季度	四季度	鬆緊帶
sjg	三極管	三鞠躬
sjx	三角形	時間線	隨機性
sld	塑料袋	撕裂的
sli	三輪車	四輪車
uma	什麼啊
umc	是沒錯	什麼詞
umd	疏密度	什麼的
umg	神祕感	審美觀	什麼鬼
umj	雙面膠	什麼叫	上面級
umr	睡美人	神祕人	什麼人
umu	市面上	說明書	說沒說
smx	三門峽	喪門星
umy	是沒有	守門員	什麼樣
snj	三年級	四年級	死腦筋
sqv	三千丈
sru	雖然是
srx	三人行
uuk	試試看	說說看
swd	四五點	所謂的
swu	四五十	三位數	散文詩
sxl	私下裏	死心了	算下來
sxy	死心眼	所吸引
syd	所有的
syn	所以能	所以呢
syr	所有人	所以然
uys	啥意思	是一所
syv	所有制	所有值
syw	私以爲
szm	臊子面	撒子嘛
tbd	聽不懂	聽不到	特別的
tbi	聽不出	逃不出	特別長
tbq	聽不清	貼標籤
tbt	疼不疼	聽不聽	痛不痛
tbu	特別是	談不上
tbx	停不下
tcl	太慘了	太菜了	聽錯了
tdd	特定的	聽得懂	太多的
tdj	特等獎	土地局
tdl	太多了	太大了	推動力
tdx	天底下	鐵道線
teq	土耳其	胎兒期
tfg	託付給	通風管
tfw	鐵飯碗	他反問
tgj	鐵公雞	通關節
tgl	太高了	太貴了
tgq	彈鋼琴	挺過去
tgu	聽故事
thl	太好了	太壞了	糖葫蘆
til	跳出來	提出來
tjz	土家族	套接字
tkl	太快了	拓寬了	太困了
tkp	太可怕
tkq	嘆口氣	探口氣	太靠前
tlt	推了推	舔了舔	談了談
tmb	挑毛病	他們把
tml	太慢了	太忙了	他們倆
tnb	糖尿病	太牛逼
tnl	太難了	太牛了	聽膩了
tnw	太難爲
tqk	通氣孔
tql	聽起來	太強了	鈦鏹釕
tqt	抬起頭
trw	他認爲	她認爲
tsg	替死鬼	碳酸鈣
ttd	妥妥的	通通電	甜甜的
ttk	聽聽看	塔塔開
ttq	透透氣	甜甜圈	通通氣
ttv	團團轉	太天真
tug	圖書館	聽說過
tul	太少了	太帥了
tuq	調試器
tvj	天主教	太直接	彈指間
tvl	通脹率	偷着樂	通知欄
tvv	統治者	挑戰者
txd	剃鬚刀	天曉得	妥協的
txl	通訊錄	太小了	同性戀
txq	拖下去
tyb	退一步	掏腰包	他一邊
tyl	同意了	圖一樂
typ	拖油瓶	頭一炮
tzy	替罪羊	投資於
ubd	說不定	捨不得	收不到
ubi	說不出	首班車	上半場
ubl	說白了	受不了	上班了
ubt	雙胞胎	說不通	傻白甜
ubu	是不是	時不時	手把手
ubx	睡不醒	雙保險	時必須
udf	士大夫	水電費	史蒂夫
udh	說得好	說大話	瘮得慌
udj	聖誕節	睡大覺	水電局
udl	收到了	受得了	上當了
udz	書呆子	設定在
uen	十二年
ues	十二歲	十二三
ufv	身份證	十分鐘
ugh	說怪話	手工活
ugl	受夠了
uhf	生活費
uhl	說好了
uhq	生活區	耍花腔
uhv	受害者	水滸傳	耍花招
ujg	世界觀	十幾個
ujk	數據庫
ujl	睡覺了
uju	實際上	試金石	手機上
ujx	時間線	數據線	上進心
ukq	順口氣
uld	手榴彈
ull	上來了	水靈靈	溼漉漉
ulm	耍流氓
ulu	試了試	石榴石
umh	沙漠化	書名號	什麼話
uml	生命力	說明了
umx	生命線	石墨烯	神祕學
unj	傷腦筋	神農架	霎那間
unq	上哪去
upz	生僻字	屎盆子	水瓶座
uql	失去了	說起來
uqm	沙琪瑪	雙曲面
uqn	十七年	數千年	上千年
uqu	申請書	手牽手	神槍手
urf	輸入法
urx	水溶性	傷人心
uum	是什麼
usn	十三年
uuu	事實上
utb	手提包	石頭杯
uty	曬太陽	滲透壓
uup	少數派	啥水平
uuq	上上籤	舒適區	上升期
uvl	睡着了
uvp	少壯派
uvq	水蒸氣	生殖器	生長期
uvx	實質性	市中心
uwg	上萬個
uwh	十五號	上午好
uwj	稅務局	睡午覺	尚雯婕
uwl	食物鏈	耍無賴	是爲了
uww	爽歪歪	水汪汪	十五萬
uxb	上下班	雙下巴	手寫板
uxg	攝像管	鼠須管
uxq	實習期	說下去	市轄區
uxu	陝西省	山西省
uxw	上下文	雙學位
uxy	商學院	受限於	耍心眼
uyb	實驗班	試用版
uyg	上一個	是一個
uyn	上一年	十一年	十餘年
uyq	試用期	使用權
uyu	實驗室	說一說	試一試
uyx	說一下	實用性	試一下
uzg	水族館	十字鎬
uzn	十字弩
uzu	實在是
van	豬啊你
vbg	只不過	戰敗國
vbh	準備好	治不好	真不會
vbl	轉不了	中不溜	準備了
vcg	這纔敢
vdb	中短波	這都被
vdh	這段話	招待會	真的很
vdl	找到了	戰鬥力	知道了
vdu	真的是	這倒是
vfb	支付寶
vfg	脂肪肝	政府工
vfx	正方形
vgl	諸葛亮
vgr	這個人	整個人	撰稿人
vgz	這個字	漲工資	政工組
vhk	真好看
vhs	指揮所	真會算
vhz	正好在
vil	支持率
vjt	這幾天	中間體	只見他
vjv	這幾種	中繼站
vkl	逐客令	展開了
vku	這可是	專科生
vlh	展覽會	紙老虎	質量好
vlj	重量級	主力軍
vmc	這麼慘	捉迷藏	這麼菜
vmd	這麼的	這麼點	這麼多
vmg	這麼貴	芝麻官	這麼怪
vmh	這麼好	這麼壞	專門化
vmi	這麼差	種馬場	貯木場
vmj	這麼久	真沒勁	芝麻醬
vmk	這麼快	這麼卡	這門課
vml	注目禮	這麼懶	這麼溜
vmn	這麼難	啄木鳥	這麼牛
vmq	這麼強	這麼巧	這麼窮
vms	這貌似	詹姆斯
vmu	這麼說	這麼少	證明書
vmv	這麼長	中美洲	這麼着
vmx	這麼想	這麼小	這麼香
vmy	這麼遠	這麼樣	這麼有
vnh	智能化	中南海
vnj	滯納金	這你就	智能機
vnl	正能量	找你了
vnr	中年人	只能讓
vnu	只能說	終南山	之能事
vny	只能有
vql	站起來	正確率	準確率
vqq	轉圈圈
vqt	竹蜻蜓
vrj	主人家
vth	招貼畫	這挺好
vtj	狀態機	整天價	整條街
vtq	主題曲	陣痛期
vvd	真正的	轉折點	執政黨
vvh	這種話	政治化	着重號
vvk	政治課	找找看
vvz	這陣子
vwd	中緯度	爪哇島
vwh	執委會	中午好
vwk	賺外快
vwr	債務人	植物人
vxb	遮羞布	中西部	中小板
vxg	主心骨	照相館	軸心國
vxh	這些話	真心話
vxl	執行力	主旋律	執行率
vxr	這些人	知心人	執行人
vxu	中學生	直轄市	這些是
vxy	只需要	只限於	中西醫
vxz	這下子	追星族	直性子
vyd	這樣的	中藥店	這一點
vyg	找一個	正義感	這有個
vyh	職業化	專業戶	這一回
vyj	轉眼間	照妖鏡	這樣就
vyk	專業課	這一塊	這樣看
vyl	注意力	這樣了	這一類
vyn	這一年
vys	重元素	這也算	這意思
vyu	主要是	這也是	佔優勢
vyv	志願者	主義者	朱元璋
vyw	正因爲	中英文	只因爲
vyx	重要性	睜眼瞎	這也行
vyy	着眼於	佔有慾
vzq	著作權	重災區
wbh	我不會	五筆畫	網不好
wbl	微波爐	忘不了	玩不來
wbu	未必是	五步蛇	我不是
wbx	我不信	五邊形
wby	我不用
wbz	歪脖子
wdb	五點半	溫度表
wdd	無底洞	穩定的
wdl	無敵了	完蛋了	我懂了
wdm	僞代碼	五斗米
wdn	我帶你	玩電腦
wdt	我的天	問答題
wfv	五分鐘	五分制	爲防止
wgl	玩夠了	問過了	萬公里
wgn	亡國奴	瓦格納	我給你
wgr	外國人	五個人
whr	外行人	五花肉	文化人
wht	萬花筒	我和他
wjj	文件夾	挖掘機
wjl	忘記了
wkl	烏克蘭	我看了
wlm	無理碼	往裏面
wlt	無厘頭	玩兩天
wlw	物聯網	問了問	五里霧
wlz	無論在
wmd	我們的
wmj	我們家	外賣架	我沒進
wmm	霧濛濛	未命名	我媽媽
wmn	我們能
wms	我貌似
wmu	我沒事	無名氏	我們是
wmv	無名指	五秒鐘
wmz	我們在
wnf	窩囊廢	往南方
wnj	五年級	忘年交	萬能鍵
wnl	萬年曆	玩膩了	維尼綸
wqj	挖牆腳	無窮盡
wrw	我認爲	誤認爲
wum	爲什麼	烏紗帽
wuu	我是誰
wsw	無所謂	萎縮紋
wtm	維他命	我他媽	爲他們
wtu	問題是	五臺山	委託書
wuh	晚上好
wus	維生素
wvj	無止境	王昭君
wvt	捂着頭
wvv	我找找	文縐縐	無症狀
wwk	玩玩看
wxr	外星人	外鄉人	崴星人
wyb	萬用表	晚一步	我也不
wyh	委員會
wyj	無意間	望遠鏡	違約金
wyu	我也是	無疑是	無意識
wyw	文言文	誤以爲	玩一玩
wyx	問一下	玩遊戲	聞一下
wyz	烏鴉嘴	我也在
wzl	屋子裏	我做了
xbd	想不到
xbh	學不會	修不好	細胞核
xbj	相比較	香檳酒
xbk	星巴克	想不開
xbl	下班了	下不來	小白臉
xbq	想不起	新標籤	相比起
xbu	下半身	小白鼠
xbx	想不想	行不行	信不信
xct	西餐廳
xdb	修訂版	現代版
xdl	想多了	想到了	學到了
xdn	想當年	許多年
xdt	心電圖	行得通
xdz	小動作	小肚子
xfd	小幅度	消防隊	先鋒隊
xfl	西番蓮	笑翻了
xgg	小哥哥	膝蓋骨	修改稿
xgl	習慣了	醒過來
xgm	想過沒
xgn	小姑娘	想跟你	新概念
xgu	習慣上	性格上	小故事
xhb	小夥伴	小彙報	小黑板
xhe	小孩兒	歇會兒
xhl	學會了	想好了	西葫蘆
xhq	血汗錢	下回去
xhu	小紅書	西紅柿	新華社
xhy	歇後語	小黃魚	夏侯淵
xhz	小孩子	小夥子	熊孩子
xjb	性價比	寫劇本
xjj	玄簡君	小姐姐	洗潔精
xjx	戲劇性	先進性	下決心
xkk	先看看
xkl	辛苦了	下課鈴
xld	性冷淡	巡邏隊
xlh	心裏話	小狼毫
xll	下來了	血淋淋
xlx	心理學	想了想	笑了笑
xly	夏令營	敘利亞
xqe	星期二	小企鵝
xql	想起來	想起了	星期六
xsl	笑死了	下三濫	新思路
xum	小市民	些什麼
xtl	想通了	希特勒
xuz	消失在	形聲字	小叔子
xvf	休止符	縣政府	鄉政府
xvt	瞎折騰	旋轉體	小紙條
xvu	線裝書	縣知事
xvx	象徵性	想這些	限制性
xvz	掀桌子
xwl	想歪了	學完了
xxn	謝謝你	相信你
xyg	下一個	協約國	選一個
xyl	吸引力	匈牙利
xys	小意思
xyz	小燕子	小姨子
xzb	心臟病	小字報	現在不
xzd	小字典	現在的
xzk	現在看
xzl	選擇了	寫字樓
xzn	現在能
xzu	現在是	協作社
xzy	現在有	寫作業
xzz	喜滋滋	現在在
ybb	一步步	一般般	眼巴巴
ybt	也不太
ybw	用不完	也不晚
ycc	一次次
ycd	藥材店	一次的
ycl	原材料	以此來
ycx	一次性
ydb	一大半	一大把	一大幫
ydd	一點點	一大堆	移動端
yde	一點兒	有點兒	有點二
ydf	一頓飯	羊癲瘋	與對方
ydg	一等功	有代溝	遇到過
ydh	一定會	一段話	運動會
ydj	一大截	一等獎	郵電局
ydk	一大塊	一道坎	一大口
ydl	有道理	意大利	一定量
ydm	源代碼	有多麼
ydn	一定能	雅典娜
ydq	一刀切	一大羣	閱讀器
ydr	有的人	一代人	一堆人
ydu	一定是	有道是	應當說
ydv	用得着	源地址	一黨制
ydx	有點像	運動鞋	壓倒性
ydy	一定要	運動員	約等於
ydz	一大早	一肚子	一袋子
yez	一而再	幺蛾子	因而在
yfm	一方面	與父母
yfq	一分錢	要分清	與父親
yfu	樂府詩	語法樹
yfv	一分鐘	預防針	與發展
yfx	一封信	原發性	運費險
ygg	一個個	圓鼓鼓	有廣告
ygj	一個勁	一根筋	壓根就
ygl	英格蘭	有規律
ygn	應該能	一股腦
ygr	一個人	英國人
ygt	硬骨頭
ygu	應該是	應該說	月桂樹
ygw	應該問
ygx	有關係	應該像	一貫性
ygy	一個月	搖滾樂	魚肝油
ygz	一個字	洋鬼子	裕固族
yhk	銀行卡
yhl	一回來	月活量
yhz	硬漢子	一會再
ykl	亞克力
ylb	一覽表	英聯邦
yld	醫療隊	一兩點	伊利丹
ylg	一兩個	易拉罐	有兩個
ylh	一兩回	顏料盒	有靈魂
yll	又來了	要來了	圓溜溜
ylm	月亮門	贏了嗎	躍龍門
ylu	原來是	一路上	閱覽室
ylv	意料中	醫療站	言論中
yly	越來越	有利於	有理由
ylz	原來在	一攬子
ymb	有毛病	要明白
ymg	幽默感	玉門關
yml	陰謀論	壓馬路	源目錄
ymy	有沒有	圓明園	也沒有
yqg	要求高	一千個
yql	用起來	一起來	引起來
yqr	一羣人	有錢人
yqu	尤其是	與其說	搖錢樹
yqw	野薔薇	一千五	一起玩
yqx	一起向	一起想
yqz	一起做	一清早
yum	鴨舌帽	有什麼
ysq	隱私權	壓歲錢
yte	英特爾
ytf	以太坊
ytl	一條路	一條龍	有條理
yvd	也知道	一盞燈	眼中釘
yvi	一指禪	也支持
yvr	意中人	宇宙人	亞洲人
